from_level,from_id,to_level,to_id,weight
zcta,85004,county,04013,1.0
zcta,85008,county,04013,1.0
zcta,85281,county,04013,1.0
zcta,85701,county,04019,1.0
zcta,33602,county,12057,1.0
zcta,78701,county,48453,1.0
place,0455000,county,04013,1.0
place,0477000,county,04019,1.0
place,1271000,county,12057,1.0
place,4805000,county,48453,1.0
county,04013,state,04,1.0
county,04019,state,04,1.0
county,04021,state,04,1.0
county,04015,state,04,1.0
county,04025,state,04,1.0
county,12057,state,12,1.0
county,12103,state,12,1.0
county,12071,state,12,1.0
county,48453,state,48,1.0
county,48029,state,48,1.0
county,37183,state,37,1.0
county,32003,state,32,1.0
